"","EmployeeNumber","Age","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobRole","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","PropensityToStay"
"300",408,51,"Travel_Rarely",1302,"Research & Development",2,3,4,"Male",84,1,2,"Manufacturing Director","Divorced",5482,16321,5,"No",18,3,4,1,13,3,3,4,1,1,2,74
"339",456,30,"Travel_Rarely",570,"Sales",5,3,4,"Female",30,2,2,"Sales Executive","Divorced",6118,5431,1,"No",13,3,3,3,10,2,3,10,9,1,2,54
"159",215,40,"Travel_Rarely",630,"Sales",4,4,3,"Male",67,2,3,"Sales Executive","Married",10855,8552,7,"No",11,3,1,1,15,2,2,12,11,2,11,64
"1103",1556,36,"Travel_Rarely",1157,"Sales",2,4,3,"Male",70,3,1,"Sales Representative","Single",2644,17001,3,"Yes",21,4,4,0,7,3,2,3,2,1,2,72
"1245",1745,30,"Travel_Frequently",1312,"Research & Development",2,4,4,"Female",78,2,1,"Research Scientist","Single",4968,26427,0,"No",16,3,4,0,10,2,3,9,7,0,7,65
"534",729,40,"Travel_Frequently",580,"Sales",5,4,4,"Male",48,2,3,"Sales Executive","Married",10475,23772,5,"Yes",21,4,3,1,20,2,3,18,13,1,12,59
"1117",1578,55,"Travel_Rarely",685,"Sales",26,5,3,"Male",60,2,5,"Manager","Married",19586,23037,1,"No",21,4,3,1,36,3,3,36,6,2,13,35
"891",1245,54,"Travel_Frequently",966,"Research & Development",1,4,4,"Female",53,3,3,"Manufacturing Director","Divorced",10502,9659,7,"No",17,3,1,1,33,2,1,5,4,1,4,66
"973",1368,18,"Non-Travel",1124,"Research & Development",1,3,4,"Female",97,3,1,"Laboratory Technician","Single",1611,19305,1,"No",15,3,3,0,0,5,4,0,0,0,0,65
"715",997,50,"Travel_Rarely",1126,"Research & Development",1,2,4,"Male",66,3,4,"Research Director","Divorced",17399,6615,9,"No",22,4,3,1,32,1,2,5,4,1,3,49
"1322",1856,47,"Travel_Rarely",207,"Research & Development",9,4,2,"Female",64,3,1,"Laboratory Technician","Single",2105,5411,4,"No",12,3,3,0,7,2,3,2,2,2,0,61
"1356",1908,36,"Travel_Rarely",335,"Sales",17,2,3,"Male",33,2,2,"Sales Executive","Married",5507,16822,2,"No",16,3,3,2,12,1,1,4,2,1,3,40
"642",889,32,"Travel_Frequently",379,"Sales",5,2,2,"Male",48,3,2,"Sales Executive","Married",6524,8891,1,"No",14,3,4,1,10,3,3,10,8,5,3,69
"881",1234,32,"Travel_Frequently",116,"Research & Development",13,3,3,"Female",77,2,1,"Laboratory Technician","Married",2743,7331,1,"No",20,4,3,1,2,2,3,2,2,2,2,86
"404",534,41,"Travel_Rarely",645,"Sales",1,3,2,"Male",49,4,3,"Sales Executive","Married",8392,19566,1,"No",16,3,3,1,10,2,3,10,7,0,7,68
"1454",2045,36,"Travel_Rarely",1120,"Sales",11,4,2,"Female",100,2,2,"Sales Executive","Married",6652,14369,4,"No",13,3,1,1,8,2,2,6,3,0,0,25
"722",1005,50,"Travel_Rarely",939,"Research & Development",24,3,4,"Male",95,3,4,"Manufacturing Director","Married",13973,4161,3,"Yes",18,3,4,1,22,2,3,12,11,1,5,54
"859",1201,53,"Travel_Rarely",1223,"Research & Development",7,2,4,"Female",50,3,5,"Manager","Divorced",18606,18640,3,"No",18,3,2,1,26,6,3,7,7,4,7,23
"203",277,34,"Travel_Frequently",878,"Research & Development",10,4,4,"Male",43,3,1,"Research Scientist","Divorced",3815,5972,1,"Yes",17,3,4,1,5,4,4,5,3,2,0,73
"1145",1613,31,"Travel_Frequently",715,"Sales",2,4,4,"Male",54,3,2,"Sales Executive","Single",5332,21602,7,"No",13,3,4,0,10,3,3,5,2,0,3,73
"520",710,29,"Travel_Frequently",806,"Research & Development",1,4,2,"Male",76,1,1,"Research Scientist","Divorced",2720,18959,1,"No",18,3,4,1,10,5,3,10,7,2,8,65
"281",386,53,"Travel_Rarely",1070,"Research & Development",3,4,3,"Male",45,3,4,"Research Director","Married",17584,21016,3,"Yes",16,3,4,3,21,5,2,5,3,1,3,61
"327",444,39,"Travel_Frequently",672,"Research & Development",7,2,3,"Male",54,2,5,"Manager","Married",19272,21141,1,"No",15,3,1,1,21,2,3,21,9,13,3,64
"753",1042,36,"Travel_Rarely",885,"Research & Development",16,4,3,"Female",43,4,1,"Laboratory Technician","Single",2743,8269,1,"No",16,3,3,0,18,1,3,17,13,15,14,26
"515",702,33,"Travel_Frequently",1076,"Research & Development",3,3,1,"Male",70,3,1,"Research Scientist","Single",3348,3164,1,"Yes",11,3,1,0,10,3,3,10,8,9,7,37
"69",88,35,"Travel_Frequently",664,"Research & Development",1,3,2,"Male",79,3,1,"Research Scientist","Married",2194,5868,4,"No",13,3,4,1,5,2,2,3,2,1,2,75
"337",454,29,"Travel_Rarely",318,"Research & Development",8,4,2,"Male",77,1,1,"Laboratory Technician","Married",2119,4759,1,"Yes",11,3,4,0,7,4,2,7,7,0,7,39
"1156",1627,39,"Travel_Rarely",170,"Research & Development",3,2,3,"Male",76,2,2,"Laboratory Technician","Divorced",3069,10302,0,"No",15,3,4,1,11,3,3,10,8,0,7,50
"1051",1480,42,"Travel_Frequently",748,"Research & Development",9,2,1,"Female",74,3,1,"Laboratory Technician","Single",3673,16458,1,"No",13,3,3,0,12,3,3,12,9,5,8,55
"822",1138,49,"Travel_Rarely",174,"Sales",8,4,4,"Male",56,2,4,"Sales Executive","Married",13120,11879,6,"No",17,3,2,1,22,3,3,9,8,2,3,72
"1360",1915,34,"Travel_Rarely",735,"Sales",3,1,4,"Female",75,2,2,"Sales Executive","Married",8103,16495,3,"Yes",12,3,3,0,9,3,2,4,2,0,1,56
